FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0001983	0	0	0.0412759	0	0	0
FBgn0032563	0	0	0	0	0	0
FBgn0041103	0	0	0	0	0	0
FBgn0028850	0	0	0	0	0	0
FBgn0028880	0.0418983	0	0	0	0	0
FBgn0028370	4.67766	4.71051	5.29896	4.84749	5.61306	5.66573
FBgn0028947	0	0	0	0	0	0.0864443
FBgn0028945	0.170886	0	0.204468	0	0	0
FBgn0028518	0	0.0229613	0	0	0.0231357	0
FBgn0028864	0	0	0	0	0	0
FBgn0028517	0	0	0	0	0	0
FBgn0051780	0	0.0373673	0	0	0	0
FBgn0051827	0	0	0	0	0	0
FBgn0001986	7.54034	8.13883	7.18568	6.77063	8.51448	8.20993
FBgn0028507	14.992	12.1269	10.7384	9.66453	13.2485	8.13665
FBgn0051826	0.939338	0.631024	0.449574	0.757978	0.751427	0.737921
FBgn0041627	14.7442	22.3666	21.1224	15.0442	30.0412	14.9689
FBgn0001990	4.88094	5.47215	5.68306	4.80101	6.31566	5.03834
FBgn0001987	17.0794	16.8094	18.4812	22.5489	14.229	17.2365
FBgn0003936	0	0	0	0	0	0
FBgn0001989	110.128	84.9508	95.4091	97.4253	103.368	105.173
FBgn0028863	42.9825	47.5795	43.5271	40.7421	39.9516	37.1774
FBgn0028946	0	0	0	0	0	0
FBgn0028948	0	0	0	0	0	0
FBgn0028949	0	0	0	0	0	0
FBgn0028944	0	0	0	0	0	0
FBgn0028950	0	0	0	0	0	0
FBgn0028901	0	0	0	0.00840487	0	0.00965735
FBgn0028903	0	0	0	0	0	0.0459011
FBgn0028902	0.028632	0	0.0228391	0	0	0
FBgn0051824	0	0	0	0	0	0
FBgn0051735	0	0	0	0	0	0
FBgn0032577	0.255133	0	0	0	0	0
FBgn0028514	0	0	0	0	0	0
FBgn0028857	0.0479015	0.0438647	0.0382042	0.0446427	0.17681	0
FBgn0028856	0.0971757	0.133673	0.0387671	0.0451795	0.17949	0.260528
FBgn0028858	0	0	0	0	0	0
FBgn0028644	5.35211	4.60438	4.82612	6.31318	5.07971	4.78613
FBgn0045827	0	0.139709	0	0.0911296	0.216939	0
